riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,realTrials.thisRepN,realTrials.thisTrialN,realTrials.thisN,realTrials.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,outcome,itiText.started,itiText.stopped,noRespTxt.stopped,ocGamble.stopped,ocSafe.stopped,outcomeText.stopped,hideGamble.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,realOutcome,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,text.started,chooseOC.started,text.stopped,exitResponse.started,finiteOutcomes,outcome2payFull,outcome2payScaled,exitResponse.keys,exitResponse.rt,endRedirect.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.119612608999887,8.118874630000391,return,1.7764330049994896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
,,,,,,,,,,,,,,,,,,,,,,9.923538560999987,11.907490448000317,v,0.5640305899996747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,12.524180831000194,12.524180831000194,12.524180831000194,12.524180831000194,12.524180831000194,12.524180831000194,12.524180831000194,14.488640575000318,14.488640575000318,14.488640575000318,v,0.4676442709996991,16.48796964200028,18.488863749000302,18.488863749000302,18.488863749000302,18.488863749000302,18.488863749000302,18.488863749000302,18.23,19.490074280000044,20.491185648999817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,20.491185648999817,20.491185648999817,20.491185648999817,20.491185648999817,20.491185648999817,20.491185648999817,20.491185648999817,22.479161621999992,22.479161621999992,22.479161621999992,n,0.8827246979999472,24.477563209000436,25.474605703000634,25.474605703000634,25.474605703000634,25.474605703000634,25.474605703000634,25.474605703000634,35.16,26.474345153000286,29.47698880200005,26.474345153000286,26.474345153000286,26.474345153000286,26.474345153000286,26.474345153000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,,,,,,,,29.47698880200005,29.47698880200005,29.47698880200005,29.47698880200005,29.47698880200005,29.47698880200005,29.47698880200005,31.464793795000332,31.464793795000332,31.464793795000332,None,,33.47693529600019,34.48077869400004,34.48077869400004,34.48077869400004,34.48077869400004,34.48077869400004,34.48077869400004, ,35.494289033000314,37.49558057000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,,,,,,,,37.49558057000013,37.49558057000013,37.49558057000013,37.49558057000013,37.49558057000013,37.49558057000013,37.49558057000013,39.478786028000286,39.478786028000286,39.478786028000286,n,0.38052492499991786,41.47902780200002,44.48075002299993,44.48075002299993,44.48075002299993,44.48075002299993,44.48075002299993,44.48075002299993,40.41,45.481889426000635,46.499299265000445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
21.56,0,11.96,1,1,2,,,,,0,4,4,4,,,,,,,,,,,,,46.499299265000445,46.499299265000445,46.499299265000445,46.499299265000445,46.499299265000445,46.499299265000445,46.499299265000445,48.48517213700052,48.48517213700052,48.48517213700052,n,0.40026138899975194,50.4890522730002,51.49949824600026,51.49949824600026,51.49949824600026,51.49949824600026,51.49949824600026,51.49949824600026,0,52.50081064300048,53.50017463699987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.50017463699987,53.50017463699987,v,2.693749621999814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
,,,,,,22.97154463,0.0,6.514227683,0,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.22351863200038,56.22351863200038,56.22351863200038,56.22351863200038,56.22351863200038,56.22351863200038,56.22351863200038,58.20301956399999,58.20301956399999,58.20301956399999,n,0.980269663999934,60.20404895899992,61.20671510300053,61.20671510300053,61.20671510300053,61.20671510300053,61.20671510300053,61.20671510300053,22.97154463,62.2212390980003,63.220476354999846,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
,,,,,,25.1991081,0.0,5.400445949,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.220476354999846,63.220476354999846,63.220476354999846,63.220476354999846,63.220476354999846,63.220476354999846,63.220476354999846,65.20394490800027,65.20394490800027,65.20394490800027,v,1.4755270390005535,67.20540714300023,68.20702238800004,68.20702238800004,68.20702238800004,68.20702238800004,68.20702238800004,68.20702238800004,5.400445949,69.20733199200004,70.22409078100009,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
,,,,,,20.026282300000002,0.0,1.986858849,0,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.22409078100009,70.22409078100009,70.22409078100009,70.22409078100009,70.22409078100009,70.22409078100009,70.22409078100009,72.21098443200026,72.21098443200026,72.21098443200026,n,0.4168883829997867,74.20698400800029,75.20990437100045,75.20990437100045,75.20990437100045,75.20990437100045,75.20990437100045,75.20990437100045,0.0,76.22281454899985,77.22550411800057,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
,,,,,,16.0,0.0,4.0,0,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.22550411800057,77.22550411800057,77.22550411800057,77.22550411800057,77.22550411800057,77.22550411800057,77.22550411800057,79.20792134500061,79.20792134500061,79.20792134500061,n,0.3884531399999105,81.20805630300038,82.21052237799995,82.21052237799995,82.21052237799995,82.21052237799995,82.21052237799995,82.21052237799995,16.0,83.21046443900013,84.21127711100053,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
,,,,,,28.21267135,0.0,3.893664324,0,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.21127711100053,84.21127711100053,84.21127711100053,84.21127711100053,84.21127711100053,84.21127711100053,84.21127711100053,86.19475944700025,86.19475944700025,86.19475944700025,n,0.5928774700005306,88.19574882600045,89.1952612820005,89.1952612820005,89.1952612820005,89.1952612820005,89.1952612820005,89.1952612820005,28.21267135,90.19551793900064,91.1969744400003,90.19551793900064,90.19551793900064,90.19551793900064,90.19551793900064,90.19551793900064,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
,,,,,,17.731107,0.0,3.1344465,0,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1969744400003,91.1969744400003,91.1969744400003,91.1969744400003,91.1969744400003,91.1969744400003,91.1969744400003,93.18019075899974,93.18019075899974,93.18019075899974,n,0.3721558860006553,95.18144834600025,96.18118251499982,96.18118251499982,96.18118251499982,96.18118251499982,96.18118251499982,96.18118251499982,17.731107,97.18204646699996,98.1834887820005,,,,,,,,,,,,,,,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1834887820005,100.16629591400033,100.18263953899987,101.17038298900025,9,9999,1234,space,0.8698894130002373,,,001,2022-07-16_08h46.38.251,CGTriskyDMtask,2022.2.1,61.87557528413839,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.07170573900021,,,,,,,
