riskygain,riskyloss,safe,ischecktrial
20.0262823,0,1.986858849,0
28.21267135,0,3.893664324,0
17.731107,0,3.1344465,0
25.1991081,0,5.400445949,0
16,0,4,0
22.97154463,0,6.514227683,0
14.72428297,0,4.637858515,0
21.32063918,0,7.339680412,0
13.93995131,0,5.030024343,0
20.53116353,0,7.734418236,0
13.45404954,0,5.272975229,0
19.85676753,0,8.071616234,0
13.0371268,0,5.481436598,0
19.27558736,0,8.362206322,0
12.67631004,0,5.661844978,0
18.77055766,0,8.614721169,0
12.36153256,0,5.819233719,0
18.32829647,0,8.835851767,0
12.08487375,0,5.957563125,0
17.93823465,0,9.030882674,0
11.84005243,0,6.079973784,0
17.59195522,0,9.204022388,0
11.62204477,0,6.188977613,0
17.2826967,0,9.35865165,0
11.42679751,0,6.286601247,0
17.00498035,0,9.497509825,0
11.19626002,0,6.401869991,0
16.60041674,0,9.699791631,0
10.94747262,0,6.52626369,0
16.25517471,0,9.872412643,0
10.73395921,0,6.633020394,0
15.95730766,0,10.02134617,0
10.54882722,0,6.725586392,0
15.69782764,0,10.15108618,0
10.38684525,0,6.806577375,0
15.46985573,0,10.26507214,0
10.24397764,0,6.878011179,0
15.26804525,0,10.36597737,0
10.11706517,0,6.941467413,0
15.08818222,0,10.45590889,0
10.3457812,0,0,1
14.25649812,0,0,1
19.85676753,0,0,1
16.11236892,6.987327811,6.987327811,1
13.09887113,7.734418236,4.678534291,1
0,0,7.553214981,1
0,0,10.24997685,1
0,0,3.1344465,1
10.6775019,0,10.6775019,1
6.785521108,0,9.915670124,1